base_scenario_id,parameter,domain,direction,baseline_value,perturbed_value,hybrid_viability_change,hospital_pressure_change,access_change,fiscal_risk_change,abs_viability_change
F4,copayment_protection_strength,equity/price,down,0.76,0.68,-0.5405339494092831,0.2441373413120007,-0.7167036800000082,0.06978226521600073,0.5405339494092831
F4,copayment_protection_strength,equity/price,up,0.76,0.84,0.540533949409272,-0.2441373413119896,0.7167036799999971,-0.06978226521600073,0.540533949409272
F4,data_observability_primary,data,up,0.85,0.9299999999999999,0.4322652672000049,-0.11540287999999288,0.12319999999998998,-0.19633984000000382,0.4322652672000049
F4,data_observability_primary,data,down,0.85,0.77,-0.4322652672000049,0.11540288000000398,-0.12320000000001219,0.19633983999999827,0.4322652672000049
F4,safety_governance,governance,down,0.86,0.78,-0.4316646400000068,0.0,0.0,0.26700799999999636,0.4316646400000068
F4,safety_governance,governance,up,0.86,0.94,0.4316646399999957,0.0,0.0,-0.2670080000000019,0.4316646399999957
F4,item_rules_strength,fiscal/governance,up,0.42,0.5,0.35318790399999633,-0.04441359999999284,0.15399999999998748,-0.3477288000000023,0.35318790399999633
F4,item_rules_strength,fiscal/governance,down,0.42,0.33999999999999997,-0.35318790399999633,0.04441360000000394,-0.15400000000000968,0.34772879999999673,0.35318790399999633
F4,cherry_picking_risk,risk,up,0.26,0.34,-0.3352320000000075,0.0,0.0,0.23039999999999727,0.3352320000000075
F4,cherry_picking_risk,risk,down,0.26,0.18,0.3352319999999964,0.0,0.0,-0.23040000000000838,0.3352319999999964
F4,stakeholder_alignment,political economy,up,0.68,0.76,0.31999999999999806,0.0,0.0,0.0,0.31999999999999806
F4,stakeholder_alignment,political economy,down,0.68,0.6000000000000001,-0.31999999999999806,0.0,0.0,0.0,0.31999999999999806
F4,equity_program_strength,equity,down,0.78,0.7000000000000001,-0.31625600000000365,0.06239999999999579,0.0,0.043199999999998795,0.31625600000000365
F4,equity_program_strength,equity,up,0.78,0.86,0.31625599999999254,-0.06239999999999579,0.0,-0.043199999999998795,0.31625599999999254
F4,local_inperson_constraint,rural/supply,down,0.35,0.26999999999999996,0.31428633600001366,-0.17765439999999355,0.6159999999999943,-0.03769920000000204,0.31428633600001366
F4,local_inperson_constraint,rural/supply,up,0.35,0.43,-0.31428633599999145,0.17765439999999355,-0.6159999999999943,0.03769920000000204,0.31428633599999145
F4,fiscal_leakage_risk,risk,up,0.28,0.36000000000000004,-0.28723200000000393,0.0,0.0,2.1503999999999968,0.28723200000000393
F4,fiscal_leakage_risk,risk,down,0.28,0.2,0.2872319999999928,0.0,0.0,-2.150400000000008,0.2872319999999928
F4,rural_loading_response,rural/supply,up,0.62,0.7,0.26938828799999426,-0.15227519999999606,0.5279999999999951,-0.032313600000000164,0.26938828799999426
F4,rural_loading_response,rural/supply,down,0.62,0.54,-0.26938828799999426,0.15227520000000716,-0.5280000000000173,0.032313600000000164,0.26938828799999426
F4,gaming_controls,governance,up,0.82,0.8999999999999999,0.2671411200000029,0.0,0.0,-0.2288640000000064,0.2671411200000029
F4,gaming_controls,governance,down,0.82,0.74,-0.2671411199999918,0.0,0.0,0.22886399999998974,0.2671411199999918
F4,implementation_complexity,implementation,down,0.72,0.64,0.25279999999999747,0.0,0.0,-0.9600000000000053,0.25279999999999747
F4,implementation_complexity,implementation,up,0.72,0.7999999999999999,-0.25279999999999747,0.0,0.0,0.9599999999999942,0.25279999999999747
F4,place_based_accountability_strength,commissioning,down,0.82,0.74,-0.24670079999999928,0.11232000000001019,0.0,0.07775999999999894,0.24670079999999928
F4,place_based_accountability_strength,commissioning,up,0.82,0.8999999999999999,0.24670079999999928,-0.11231999999999909,0.0,-0.07775999999999894,0.24670079999999928
F4,patient_copayment_level,funding/price,down,0.58,0.49999999999999994,0.24425951606783514,-0.23826195993599253,0.8261510399999894,-0.05056044364800116,0.24425951606783514
F4,patient_copayment_level,funding/price,up,0.58,0.6599999999999999,-0.24425951606783514,0.23826195993600363,-0.8261510400000116,0.05056044364800116,0.24425951606783514
F4,market_entry_response,supply dynamics,down,0.22,0.14,-0.22449023999999707,0.12689599999999857,-0.43999999999999595,0.026927999999998287,0.22449023999999707
F4,market_entry_response,supply dynamics,up,0.22,0.3,0.22449023999999707,-0.12689599999999857,0.43999999999999595,-0.026927999999998287,0.22449023999999707
F4,audit_intensity,governance,up,0.78,0.86,0.22261760000000796,0.0,0.0,-0.19072000000000533,0.22261760000000796
F4,audit_intensity,governance,down,0.78,0.7000000000000001,-0.22261759999999686,0.0,0.0,0.19071999999999423,0.22261759999999686
F4,urgent_care_effectiveness,urgent care,up,0.72,0.7999999999999999,0.21418431999999932,-0.6391279999999999,0.41999999999999815,-0.1517040000000025,0.21418431999999932
F4,urgent_care_effectiveness,urgent care,down,0.72,0.64,-0.21418431999999932,0.639128000000011,-0.41999999999999815,0.1517040000000025,0.21418431999999932
F4,telehealth_acceptability,demand/digital,up,0.42,0.5,0.21052416000000296,-0.2768639999999989,0.9599999999999831,-0.058752000000000804,0.21052416000000296
F4,telehealth_acceptability,demand/digital,down,0.42,0.33999999999999997,-0.21052415999999186,0.2768639999999989,-0.9600000000000053,0.058752000000000804,0.21052415999999186
F4,consumer_trust,legitimacy,down,0.5,0.42,-0.20160000000000178,0.0,0.0,0.0,0.20160000000000178
F4,consumer_trust,legitimacy,up,0.5,0.58,0.20160000000000178,0.0,0.0,0.0,0.20160000000000178
F4,narrative_coherence,political economy,down,0.72,0.64,-0.20000000000000018,0.0,0.0,0.0,0.20000000000000018
F4,narrative_coherence,political economy,up,0.72,0.7999999999999999,0.20000000000000018,0.0,0.0,0.0,0.20000000000000018
F4,te_tiriti_governance_strength,equity/governance,up,0.76,0.84,0.19423359999999334,-0.037439999999999696,0.0,-0.025920000000001497,0.19423359999999334
F4,te_tiriti_governance_strength,equity/governance,down,0.76,0.68,-0.19423359999999334,0.037439999999999696,0.0,0.025919999999995946,0.19423359999999334
F4,ambulance_deflection_rate,ambulance,down,0.65,0.5700000000000001,-0.18358656000000417,0.5478239999999968,-0.36000000000000476,0.1300319999999966,0.18358656000000417
F4,ambulance_deflection_rate,ambulance,up,0.65,0.73,0.18358656000000417,-0.5478239999999968,0.36000000000000476,-0.13003200000000215,0.18358656000000417
F4,gp_capacity_index,supply,down,0.58,0.49999999999999994,-0.1800381440000165,0.14373760000000457,-0.2640000000000198,0.06295680000000248,0.1800381440000165
F4,gp_capacity_index,supply,up,0.58,0.6599999999999999,0.1800381440000054,-0.14373759999999347,0.26399999999999757,-0.06295679999999693,0.1800381440000054
F4,activity_signal_strength,funding/FFS,up,0.78,0.86,0.17959219199999987,-0.10151680000000107,0.35199999999999676,-0.02154240000000196,0.17959219199999987
F4,capitation_base_strength,funding,down,0.7,0.62,-0.17959219199999987,0.10151680000001218,-0.35200000000001896,0.02154240000000196,0.17959219199999987
F4,workforce_exit_rate,supply dynamics,down,0.12,0.039999999999999994,0.17959219199999987,-0.10151680000000107,0.35199999999999676,-0.02154240000000196,0.17959219199999987
F4,scheduled_benefit_price_adequacy,funding/FFS,up,0.74,0.82,0.17959219199999987,-0.10151680000000107,0.35199999999999676,-0.02154240000000196,0.17959219199999987
F4,capitation_base_strength,funding,up,0.7,0.7799999999999999,0.17959219199999987,-0.10151680000000107,0.35199999999999676,-0.02154240000000196,0.17959219199999987
F4,scheduled_benefit_price_adequacy,funding/FFS,down,0.74,0.66,-0.17959219199998877,0.10151680000000107,-0.35199999999999676,0.02154240000000196,0.17959219199998877
F4,activity_signal_strength,funding/FFS,down,0.78,0.7000000000000001,-0.17959219199998877,0.10151680000000107,-0.35199999999999676,0.02154240000000196,0.17959219199998877
F4,workforce_exit_rate,supply dynamics,up,0.12,0.2,-0.17959219199998877,0.10151680000000107,-0.35199999999999676,0.02154240000000196,0.17959219199998877
F4,low_value_activity_risk,risk,down,0.28,0.2,0.16332799999999592,0.0,0.0,-0.28160000000000407,0.16332799999999592
F4,low_value_activity_risk,risk,up,0.28,0.36000000000000004,-0.16332799999999592,0.0,0.0,0.28159999999999297,0.16332799999999592
F4,nurse_np_capacity_index,supply,up,0.66,0.74,0.15843356672000652,-0.12648908799999248,0.23231999999999697,-0.05540198399999752,0.15843356672000652
F4,nurse_np_capacity_index,supply,down,0.66,0.5800000000000001,-0.15843356671999542,0.12648908799999248,-0.23231999999999697,0.05540198399999752,0.15843356671999542
F4,provider_moral_hazard_risk,risk,up,0.38,0.46,-0.14848000000000638,0.0,0.0,0.25600000000000067,0.14848000000000638
F4,provider_moral_hazard_risk,risk,down,0.38,0.3,0.14847999999999528,0.0,0.0,-0.25600000000000067,0.14847999999999528
F4,political_contestation,implementation,up,0.58,0.6599999999999999,-0.14399999999999968,0.0,0.0,0.0,0.14399999999999968
F4,political_contestation,implementation,down,0.58,0.49999999999999994,0.14399999999999968,0.0,0.0,0.0,0.14399999999999968
