scenario_id,outcome,parameter,correlation,abs_correlation
P0,hybrid_viability_score,copayment_level,-0.3917,0.3917
P0,hybrid_viability_score,data_observability,0.3633,0.3633
P0,hybrid_viability_score,marginal_contact_benefit,0.3469,0.3469
P0,hybrid_viability_score,equity_program_strength,0.2688,0.2688
P0,hybrid_viability_score,copayment_protections,0.2666,0.2666
P0,hybrid_viability_score,primary_kpi_salience,0.2449,0.2449
P0,hybrid_viability_score,telehealth_scale,-0.2432,0.2432
P0,hybrid_viability_score,hospital_political_penalty,-0.2365,0.2365
P1,hybrid_viability_score,marginal_contact_benefit,0.4544,0.4544
P1,hybrid_viability_score,data_observability,0.4089,0.4089
P1,hybrid_viability_score,hospital_political_penalty,-0.2689,0.2689
P1,hybrid_viability_score,equity_program_strength,0.2311,0.2311
P1,hybrid_viability_score,primary_kpi_salience,0.2205,0.2205
P1,hybrid_viability_score,stakeholder_alignment,0.2166,0.2166
P1,hybrid_viability_score,safety_governance,0.2107,0.2107
P1,hybrid_viability_score,ambulance_kpi_salience,0.2104,0.2104
P2,hybrid_viability_score,data_observability,0.4677,0.4677
P2,hybrid_viability_score,marginal_contact_benefit,0.3856,0.3856
P2,hybrid_viability_score,primary_kpi_salience,0.3131,0.3131
P2,hybrid_viability_score,gaming_controls,0.2646,0.2646
P2,hybrid_viability_score,equity_program_strength,0.252,0.252
P2,hybrid_viability_score,hospital_political_penalty,-0.2504,0.2504
P2,hybrid_viability_score,safety_governance,0.2428,0.2428
P2,hybrid_viability_score,stakeholder_alignment,0.2218,0.2218
P3,hybrid_viability_score,marginal_contact_benefit,0.4783,0.4783
P3,hybrid_viability_score,data_observability,0.399,0.399
P3,hybrid_viability_score,gaming_controls,0.2949,0.2949
P3,hybrid_viability_score,safety_governance,0.2886,0.2886
P3,hybrid_viability_score,stakeholder_alignment,0.2821,0.2821
P3,hybrid_viability_score,ambulance_alternative_funding,0.2286,0.2286
P3,hybrid_viability_score,direct_claiming,0.2285,0.2285
P3,hybrid_viability_score,equity_program_strength,0.2109,0.2109
P4,hybrid_viability_score,data_observability,0.4654,0.4654
P4,hybrid_viability_score,copayment_level,-0.3638,0.3638
P4,hybrid_viability_score,gaming_controls,0.3366,0.3366
P4,hybrid_viability_score,safety_governance,0.3262,0.3262
P4,hybrid_viability_score,equity_program_strength,0.2855,0.2855
P4,hybrid_viability_score,copayment_protections,0.262,0.262
P4,hybrid_viability_score,primary_kpi_salience,0.2209,0.2209
P4,hybrid_viability_score,marginal_contact_benefit,0.2178,0.2178
P5,hybrid_viability_score,marginal_contact_benefit,0.3833,0.3833
P5,hybrid_viability_score,data_observability,0.347,0.347
P5,hybrid_viability_score,copayment_level,-0.3281,0.3281
P5,hybrid_viability_score,equity_program_strength,0.3067,0.3067
P5,hybrid_viability_score,primary_kpi_salience,0.2681,0.2681
P5,hybrid_viability_score,copayment_protections,0.2587,0.2587
P5,hybrid_viability_score,telehealth_scale,-0.2505,0.2505
P5,hybrid_viability_score,hospital_political_penalty,-0.2488,0.2488
P6,hybrid_viability_score,data_observability,0.3917,0.3917
P6,hybrid_viability_score,marginal_contact_benefit,0.3255,0.3255
P6,hybrid_viability_score,copayment_level,-0.3134,0.3134
P6,hybrid_viability_score,equity_program_strength,0.3113,0.3113
P6,hybrid_viability_score,primary_kpi_salience,0.2946,0.2946
P6,hybrid_viability_score,hospital_political_penalty,-0.2894,0.2894
P6,hybrid_viability_score,copayment_protections,0.2853,0.2853
P6,hybrid_viability_score,gaming_controls,0.2006,0.2006
P7,hybrid_viability_score,marginal_contact_benefit,0.4399,0.4399
P7,hybrid_viability_score,data_observability,0.3848,0.3848
P7,hybrid_viability_score,equity_program_strength,0.2809,0.2809
P7,hybrid_viability_score,copayment_level,-0.2737,0.2737
P7,hybrid_viability_score,hospital_political_penalty,-0.266,0.266
P7,hybrid_viability_score,primary_kpi_salience,0.2403,0.2403
P7,hybrid_viability_score,copayment_protections,0.2393,0.2393
P7,hybrid_viability_score,safety_governance,0.2355,0.2355
P8,hybrid_viability_score,marginal_contact_benefit,0.4142,0.4142
P8,hybrid_viability_score,data_observability,0.3509,0.3509
P8,hybrid_viability_score,copayment_protections,0.3206,0.3206
P8,hybrid_viability_score,copayment_level,-0.3105,0.3105
P8,hybrid_viability_score,equity_program_strength,0.3033,0.3033
P8,hybrid_viability_score,hospital_political_penalty,-0.2032,0.2032
P8,hybrid_viability_score,safety_governance,0.1896,0.1896
P8,hybrid_viability_score,primary_kpi_salience,0.1854,0.1854
