scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S0,Status quo tight control,G1,Hospital-salience budget game,hospital_pressure,hospital_political_penalty,0.7601,0.7601,positive,1.0
S0,Status quo tight control,G1,Hospital-salience budget game,hospital_pressure,marginal_contact_benefit,-0.372,0.372,negative,2.0
S0,Status quo tight control,G1,Hospital-salience budget game,hospital_pressure,primary_kpi_salience,-0.3491,0.3491,negative,3.0
S0,Status quo tight control,G1,Hospital-salience budget game,hospital_pressure,ambulance_kpi_salience,-0.253,0.253,negative,4.0
S0,Status quo tight control,G1,Hospital-salience budget game,hospital_pressure,data_observability,-0.2286,0.2286,negative,5.0
S0,Status quo tight control,G10,Co-payment calibration game,hospital_pressure,copayment_level,0.7603,0.7603,positive,1.0
S0,Status quo tight control,G10,Co-payment calibration game,hospital_pressure,copayment_protections,-0.5755,0.5755,negative,2.0
S0,Status quo tight control,G10,Co-payment calibration game,hospital_pressure,marginal_contact_benefit,-0.3164,0.3164,negative,3.0
S0,Status quo tight control,G10,Co-payment calibration game,hospital_pressure,scope_flexibility,0.0658,0.0658,positive,4.0
S0,Status quo tight control,G10,Co-payment calibration game,hospital_pressure,ambulance_kpi_salience,-0.036,0.036,negative,5.0
S0,Status quo tight control,G11,KPI salience game,hospital_pressure,primary_kpi_salience,-0.6993,0.6993,negative,1.0
S0,Status quo tight control,G11,KPI salience game,hospital_pressure,marginal_contact_benefit,-0.5066,0.5066,negative,2.0
S0,Status quo tight control,G11,KPI salience game,hospital_pressure,ambulance_kpi_salience,-0.4551,0.4551,negative,3.0
S0,Status quo tight control,G11,KPI salience game,hospital_pressure,data_observability,-0.1365,0.1365,negative,4.0
S0,Status quo tight control,G11,KPI salience game,hospital_pressure,gaming_controls,-0.1043,0.1043,negative,5.0
S0,Status quo tight control,G12,Equity and trust game,hospital_pressure,marginal_contact_benefit,-0.7543,0.7543,negative,1.0
S0,Status quo tight control,G12,Equity and trust game,hospital_pressure,equity_program_strength,-0.5096,0.5096,negative,2.0
S0,Status quo tight control,G12,Equity and trust game,hospital_pressure,stakeholder_alignment,-0.2981,0.2981,negative,3.0
S0,Status quo tight control,G12,Equity and trust game,hospital_pressure,copayment_protections,-0.2434,0.2434,negative,4.0
S0,Status quo tight control,G12,Equity and trust game,hospital_pressure,direct_claiming,0.1003,0.1003,positive,5.0
S0,Status quo tight control,G13,Political economy game,hospital_pressure,narrative_coherence,-0.6988,0.6988,negative,1.0
S0,Status quo tight control,G13,Political economy game,hospital_pressure,stakeholder_alignment,-0.4983,0.4983,negative,2.0
S0,Status quo tight control,G13,Political economy game,hospital_pressure,direct_claiming,0.3724,0.3724,positive,3.0
S0,Status quo tight control,G13,Political economy game,hospital_pressure,equity_program_strength,-0.2664,0.2664,negative,4.0
S0,Status quo tight control,G13,Political economy game,hospital_pressure,data_observability,-0.2306,0.2306,negative,5.0
S0,Status quo tight control,G14,Data observability game,hospital_pressure,data_observability,-0.9716,0.9716,negative,1.0
S0,Status quo tight control,G14,Data observability game,hospital_pressure,marginal_contact_benefit,-0.2241,0.2241,negative,2.0
S0,Status quo tight control,G14,Data observability game,hospital_pressure,pho_transaction_cost,-0.0774,0.0774,negative,3.0
S0,Status quo tight control,G14,Data observability game,hospital_pressure,scope_flexibility,0.0556,0.0556,positive,4.0
S0,Status quo tight control,G14,Data observability game,hospital_pressure,primary_kpi_salience,-0.0549,0.0549,negative,5.0
S0,Status quo tight control,G2,Health NZ internal allocation game,hospital_pressure,marginal_contact_benefit,-0.5895,0.5895,negative,1.0
S0,Status quo tight control,G2,Health NZ internal allocation game,hospital_pressure,ambulance_alternative_funding,-0.45,0.45,negative,2.0
S0,Status quo tight control,G2,Health NZ internal allocation game,hospital_pressure,primary_kpi_salience,-0.421,0.421,negative,3.0
S0,Status quo tight control,G2,Health NZ internal allocation game,hospital_pressure,data_observability,-0.3462,0.3462,negative,4.0
S0,Status quo tight control,G2,Health NZ internal allocation game,hospital_pressure,ambulance_kpi_salience,-0.3126,0.3126,negative,5.0
S0,Status quo tight control,G3,Capitation marginal-supply game,hospital_pressure,marginal_contact_benefit,-0.8198,0.8198,negative,1.0
S0,Status quo tight control,G3,Capitation marginal-supply game,hospital_pressure,ambulance_alternative_funding,-0.4089,0.4089,negative,2.0
S0,Status quo tight control,G3,Capitation marginal-supply game,hospital_pressure,copayment_level,-0.294,0.294,negative,3.0
S0,Status quo tight control,G3,Capitation marginal-supply game,hospital_pressure,capitation_weighting,-0.17,0.17,negative,4.0
S0,Status quo tight control,G3,Capitation marginal-supply game,hospital_pressure,hospital_political_penalty,-0.0756,0.0756,negative,5.0
S0,Status quo tight control,G4,Consumer access pathway game,hospital_pressure,copayment_level,0.7659,0.7659,positive,1.0
S0,Status quo tight control,G4,Consumer access pathway game,hospital_pressure,copayment_protections,-0.5218,0.5218,negative,2.0
S0,Status quo tight control,G4,Consumer access pathway game,hospital_pressure,marginal_contact_benefit,-0.2546,0.2546,negative,3.0
S0,Status quo tight control,G4,Consumer access pathway game,hospital_pressure,ambulance_alternative_funding,-0.1581,0.1581,negative,4.0
