scenario_id,scenario_name,game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
S0,Status quo tight control,G1,Hospital-salience budget game,system_welfare,primary_kpi_salience,0.5334,0.5334,positive,1.0
S0,Status quo tight control,G1,Hospital-salience budget game,system_welfare,marginal_contact_benefit,0.4355,0.4355,positive,2.0
S0,Status quo tight control,G1,Hospital-salience budget game,system_welfare,data_observability,0.3727,0.3727,positive,3.0
S0,Status quo tight control,G1,Hospital-salience budget game,system_welfare,equity_program_strength,0.3081,0.3081,positive,4.0
S0,Status quo tight control,G1,Hospital-salience budget game,system_welfare,ambulance_kpi_salience,0.2965,0.2965,positive,5.0
S0,Status quo tight control,G10,Co-payment calibration game,system_welfare,copayment_protections,0.7417,0.7417,positive,1.0
S0,Status quo tight control,G10,Co-payment calibration game,system_welfare,copayment_level,-0.6075,0.6075,negative,2.0
S0,Status quo tight control,G10,Co-payment calibration game,system_welfare,marginal_contact_benefit,0.227,0.227,positive,3.0
S0,Status quo tight control,G10,Co-payment calibration game,system_welfare,equity_program_strength,0.1403,0.1403,positive,4.0
S0,Status quo tight control,G10,Co-payment calibration game,system_welfare,scope_flexibility,-0.069,0.069,negative,5.0
S0,Status quo tight control,G11,KPI salience game,system_welfare,primary_kpi_salience,0.6295,0.6295,positive,1.0
S0,Status quo tight control,G11,KPI salience game,system_welfare,marginal_contact_benefit,0.4764,0.4764,positive,2.0
S0,Status quo tight control,G11,KPI salience game,system_welfare,ambulance_kpi_salience,0.3886,0.3886,positive,3.0
S0,Status quo tight control,G11,KPI salience game,system_welfare,equity_program_strength,0.2874,0.2874,positive,4.0
S0,Status quo tight control,G11,KPI salience game,system_welfare,data_observability,0.2394,0.2394,positive,5.0
S0,Status quo tight control,G12,Equity and trust game,system_welfare,equity_program_strength,0.6297,0.6297,positive,1.0
S0,Status quo tight control,G12,Equity and trust game,system_welfare,marginal_contact_benefit,0.5415,0.5415,positive,2.0
S0,Status quo tight control,G12,Equity and trust game,system_welfare,stakeholder_alignment,0.3657,0.3657,positive,3.0
S0,Status quo tight control,G12,Equity and trust game,system_welfare,copayment_protections,0.2821,0.2821,positive,4.0
S0,Status quo tight control,G12,Equity and trust game,system_welfare,data_observability,0.1768,0.1768,positive,5.0
S0,Status quo tight control,G13,Political economy game,system_welfare,narrative_coherence,0.5987,0.5987,positive,1.0
S0,Status quo tight control,G13,Political economy game,system_welfare,equity_program_strength,0.4694,0.4694,positive,2.0
S0,Status quo tight control,G13,Political economy game,system_welfare,stakeholder_alignment,0.4388,0.4388,positive,3.0
S0,Status quo tight control,G13,Political economy game,system_welfare,data_observability,0.324,0.324,positive,4.0
S0,Status quo tight control,G13,Political economy game,system_welfare,marginal_contact_benefit,0.2538,0.2538,positive,5.0
S0,Status quo tight control,G14,Data observability game,system_welfare,data_observability,0.9015,0.9015,positive,1.0
S0,Status quo tight control,G14,Data observability game,system_welfare,marginal_contact_benefit,0.3036,0.3036,positive,2.0
S0,Status quo tight control,G14,Data observability game,system_welfare,gaming_controls,0.1893,0.1893,positive,3.0
S0,Status quo tight control,G14,Data observability game,system_welfare,equity_program_strength,0.1764,0.1764,positive,4.0
S0,Status quo tight control,G14,Data observability game,system_welfare,direct_claiming,0.0951,0.0951,positive,5.0
S0,Status quo tight control,G2,Health NZ internal allocation game,system_welfare,data_observability,0.5652,0.5652,positive,1.0
S0,Status quo tight control,G2,Health NZ internal allocation game,system_welfare,marginal_contact_benefit,0.4881,0.4881,positive,2.0
S0,Status quo tight control,G2,Health NZ internal allocation game,system_welfare,equity_program_strength,0.3724,0.3724,positive,3.0
S0,Status quo tight control,G2,Health NZ internal allocation game,system_welfare,primary_kpi_salience,0.2791,0.2791,positive,4.0
S0,Status quo tight control,G2,Health NZ internal allocation game,system_welfare,ambulance_kpi_salience,0.2668,0.2668,positive,5.0
S0,Status quo tight control,G3,Capitation marginal-supply game,system_welfare,capitation_weighting,0.5666,0.5666,positive,1.0
S0,Status quo tight control,G3,Capitation marginal-supply game,system_welfare,copayment_protections,0.501,0.501,positive,2.0
S0,Status quo tight control,G3,Capitation marginal-supply game,system_welfare,marginal_contact_benefit,0.4958,0.4958,positive,3.0
S0,Status quo tight control,G3,Capitation marginal-supply game,system_welfare,equity_program_strength,0.2123,0.2123,positive,4.0
S0,Status quo tight control,G3,Capitation marginal-supply game,system_welfare,budget_tightness,-0.1719,0.1719,negative,5.0
S0,Status quo tight control,G4,Consumer access pathway game,system_welfare,copayment_level,-0.7285,0.7285,negative,1.0
S0,Status quo tight control,G4,Consumer access pathway game,system_welfare,copayment_protections,0.4912,0.4912,positive,2.0
S0,Status quo tight control,G4,Consumer access pathway game,system_welfare,marginal_contact_benefit,0.2833,0.2833,positive,3.0
S0,Status quo tight control,G4,Consumer access pathway game,system_welfare,telehealth_integration,0.1668,0.1668,positive,4.0
S0,Status quo tight control,G4,Consumer access pathway game,system_welfare,ambulance_alternative_funding,0.1555,0.1555,positive,5.0
S0,Status quo tight control,G5,PHO intermediation game,system_welfare,direct_claiming,0.5301,0.5301,positive,1.0
S0,Status quo tight control,G5,PHO intermediation game,system_welfare,pho_transaction_cost,-0.4976,0.4976,negative,2.0
S0,Status quo tight control,G5,PHO intermediation game,system_welfare,equity_program_strength,0.3773,0.3773,positive,3.0
S0,Status quo tight control,G5,PHO intermediation game,system_welfare,marginal_contact_benefit,0.3556,0.3556,positive,4.0
S0,Status quo tight control,G5,PHO intermediation game,system_welfare,data_observability,0.3533,0.3533,positive,5.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,acc_constraint,-0.6556,0.6556,negative,1.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,data_observability,0.458,0.458,positive,2.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,marginal_contact_benefit,0.3764,0.3764,positive,3.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,acc_activity_funding,0.2971,0.2971,positive,4.0
S0,Status quo tight control,G6,ACC/Health NZ cross-funder game,system_welfare,equity_program_strength,0.183,0.183,positive,5.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,ambulance_alternative_funding,0.7762,0.7762,positive,1.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,data_observability,0.348,0.348,positive,2.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,safety_governance,0.3223,0.3223,positive,3.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,primary_kpi_salience,0.2549,0.2549,positive,4.0
S0,Status quo tight control,G7,Ambulance conveyance game,system_welfare,equity_program_strength,0.2166,0.2166,positive,5.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,scope_flexibility,0.8391,0.8391,positive,1.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,marginal_contact_benefit,0.3258,0.3258,positive,2.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,safety_governance,0.3127,0.3127,positive,3.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,gaming_controls,0.1802,0.1802,positive,4.0
S0,Status quo tight control,G8,Scope-of-practice supply game,system_welfare,equity_program_strength,0.1756,0.1756,positive,5.0
S0,Status quo tight control,G9,Telehealth/local-supply game,system_welfare,telehealth_integration,0.8033,0.8033,positive,1.0
