game_id,game_name,outcome_metric,parameter,correlation,abs_correlation,direction,rank_within_game
G1,Hospital-salience budget game,system_welfare,primary_kpi_salience,0.9255,0.9255,positive,1.0
G1,Hospital-salience budget game,system_welfare,data_observability,0.8931,0.8931,positive,2.0
G1,Hospital-salience budget game,system_welfare,ambulance_alternative_funding,0.8778,0.8778,positive,3.0
G1,Hospital-salience budget game,system_welfare,ambulance_kpi_salience,0.8658,0.8658,positive,4.0
G1,Hospital-salience budget game,system_welfare,marginal_contact_benefit,0.8543,0.8543,positive,5.0
G1,Hospital-salience budget game,system_welfare,direct_claiming,0.8418,0.8418,positive,6.0
G1,Hospital-salience budget game,system_welfare,narrative_coherence,0.8385,0.8385,positive,7.0
G1,Hospital-salience budget game,system_welfare,scope_flexibility,0.787,0.787,positive,8.0
G10,Co-payment calibration game,system_welfare,copayment_protections,0.9252,0.9252,positive,1.0
G10,Co-payment calibration game,system_welfare,narrative_coherence,0.9102,0.9102,positive,2.0
G10,Co-payment calibration game,system_welfare,local_inperson_loading,0.901,0.901,positive,3.0
G10,Co-payment calibration game,system_welfare,data_observability,0.8652,0.8652,positive,4.0
G10,Co-payment calibration game,system_welfare,copayment_level,-0.8555,0.8555,negative,5.0
G10,Co-payment calibration game,system_welfare,stakeholder_alignment,0.8548,0.8548,positive,6.0
G10,Co-payment calibration game,system_welfare,telehealth_integration,0.8423,0.8423,positive,7.0
G10,Co-payment calibration game,system_welfare,budget_tightness,-0.8038,0.8038,negative,8.0
G11,KPI salience game,system_welfare,primary_kpi_salience,0.9334,0.9334,positive,1.0
G11,KPI salience game,system_welfare,ambulance_alternative_funding,0.8845,0.8845,positive,2.0
G11,KPI salience game,system_welfare,ambulance_kpi_salience,0.8823,0.8823,positive,3.0
G11,KPI salience game,system_welfare,data_observability,0.8821,0.8821,positive,4.0
G11,KPI salience game,system_welfare,marginal_contact_benefit,0.8555,0.8555,positive,5.0
G11,KPI salience game,system_welfare,direct_claiming,0.8404,0.8404,positive,6.0
G11,KPI salience game,system_welfare,narrative_coherence,0.8297,0.8297,positive,7.0
G11,KPI salience game,system_welfare,scope_flexibility,0.7945,0.7945,positive,8.0
G12,Equity and trust game,system_welfare,narrative_coherence,0.92,0.92,positive,1.0
G12,Equity and trust game,system_welfare,local_inperson_loading,0.9098,0.9098,positive,2.0
G12,Equity and trust game,system_welfare,data_observability,0.9075,0.9075,positive,3.0
G12,Equity and trust game,system_welfare,stakeholder_alignment,0.8687,0.8687,positive,4.0
G12,Equity and trust game,system_welfare,copayment_protections,0.8578,0.8578,positive,5.0
G12,Equity and trust game,system_welfare,telehealth_integration,0.8417,0.8417,positive,6.0
G12,Equity and trust game,system_welfare,budget_tightness,-0.8074,0.8074,negative,7.0
G12,Equity and trust game,system_welfare,copayment_level,-0.7636,0.7636,negative,8.0
