file,words,markdown_links,external_links,figure_links,avg_sentence_words,length_status,hyperlink_status
post-01-are-we-buying-hospital-growth-by-rationing-cheaper-care-upstream-v1.5.0.md,2191,19,18,1,16.7,pass,pass
post-02-fee-for-service-capitation-and-blended-funding-the-plain-english-version-v1.5.0.md,2070,17,16,1,17.8,pass,pass
post-03-marginal-supply-the-tiny-economic-idea-that-decides-whether-appointments-exist-v1.5.0.md,1986,18,16,2,17.1,pass,pass
post-04-why-formulas-do-not-solve-games-v1.5.0.md,2052,17,16,1,14.8,pass,pass
post-05-the-current-reform-pathway-stronger-than-a-straw-man-but-maybe-still-incomplete-v1.5.0.md,2076,17,16,1,16.6,pass,pass
post-06-what-i-mean-by-uncapping-primary-care-funding-v1.5.0.md,2091,18,16,2,17.7,pass,pass
post-07-the-hospital-salience-game-and-the-health-new-zealand-allocation-game-v1.5.0.md,2087,17,16,1,16.8,pass,pass
post-08-the-capitation-marginal-supply-game-and-the-consumer-access-game-v1.5.0.md,2082,18,16,2,17.1,pass,pass
post-09-primary-health-organisations-useful-functions-payment-friction-and-cherry-picking-v1.5.0.md,2062,17,16,1,19.6,pass,pass
post-10-accident-compensation-corporation-ambulance-and-urgent-care-the-hidden-upstream-system-v1.5.0.md,2023,17,16,1,20.6,pass,pass
post-11-who-should-be-allowed-to-generate-primary-care-supply-v1.5.0.md,2053,17,16,1,17.7,pass,pass
post-12-telehealth-is-an-extender-not-a-replacement-for-local-supply-v1.5.0.md,2044,17,16,1,17.6,pass,pass
post-13-co-payments-demand-signal-or-equity-failure-v1.5.0.md,2070,18,16,2,19.0,pass,pass
post-14-the-19-games-a-map-of-the-new-zealand-primary-care-funding-problem-v1.5.0.md,2077,18,16,2,19.2,pass,pass
post-15-the-hybrid-game-why-no-single-lever-is-enough-v1.5.0.md,1982,17,16,1,14.6,pass,pass
post-16-composite-modelling-what-the-demonstrative-model-adds-and-what-it-does-not-v1.5.0.md,1953,18,16,2,17.4,pass,pass
post-17-game-informed-multi-criteria-decision-analysis-making-disagreement-useful-v1.5.0.md,2009,17,16,1,15.9,pass,pass
post-18-recommendations-a-primary-care-system-that-can-grow-before-hospitals-have-to-v1.5.0.md,2208,19,17,2,19.0,pass,pass
