option_id,option,mapped_scenario,weighted_total_before_penalty,risk_penalty,risk_adjusted_score,raw_weighted_direction_minus2_to_plus2,contribution_C1,contribution_C2,contribution_C3,contribution_C4,contribution_C5,contribution_C6,contribution_C7,contribution_C8,contribution_C9,contribution_C10,weight_set_id,weight_set,rank
O5,Full upstream access architecture,S3,70.77,10.35,60.42,1.299,11.1,10.35,9.667,6.375,6.429,5.81,6.096,6.619,2.381,5.943,W0,Balanced policy,1
O3,Primary Care Benefits Schedule,S2,59.37,10.1,49.27,0.575,10.05,9.05,7.4,4.993,5.429,4.643,5.4,5.286,2.321,4.8,W0,Balanced policy,2
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,60.58,12.3,48.28,0.67,10.783,9.267,7.583,5.571,5.2,4.44,5.957,5.0,2.167,4.61,W0,Balanced policy,3
O2,Capitation reweighting plus access target,S1+target,54.5,6.5,48.0,0.253,6.667,6.9,8.167,4.543,5.9,5.429,4.286,5.226,2.714,4.667,W0,Balanced policy,4
O1,Capitation reweighting only,S1,52.89,5.2,47.69,0.158,6.4,6.167,8.267,4.564,6.114,5.476,4.146,5.071,2.631,4.057,W0,Balanced policy,5
O7,ACC/ambulance alternatives strengthened only,partial,55.78,8.2,47.58,0.387,7.667,8.183,7.217,4.929,5.714,5.024,4.5,5.476,2.577,4.495,W0,Balanced policy,6
O8,PHO reform/direct claims only,partial,53.72,12.25,41.47,0.262,7.4,7.0,6.667,4.479,6.0,4.762,6.214,5.119,1.952,4.124,W0,Balanced policy,7
O9,Hospital investment priority only,hospital,48.04,8.0,40.04,-0.103,4.533,5.667,6.233,3.9,4.229,5.929,4.982,5.595,2.917,4.057,W0,Balanced policy,8
O0,Status quo tight control,S0,40.9,7.5,33.4,-0.466,3.267,3.467,4.8,3.086,6.4,5.655,3.171,4.905,2.964,3.19,W0,Balanced policy,9
O6,Loose demand-driven benefits with weak controls,S4,47.33,22.75,24.58,-0.147,9.7,8.133,5.333,4.671,2.929,2.095,5.464,3.048,1.857,4.095,W0,Balanced policy,10
O5,Full upstream access architecture,S3,71.84,10.35,61.49,1.371,11.773,7.841,18.308,9.015,4.545,3.697,3.592,6.318,2.02,4.727,W1,Equity and Te Tiriti focused,1
O3,Primary Care Benefits Schedule,S2,59.4,10.1,49.3,0.589,10.659,6.856,14.015,7.061,3.838,2.955,3.182,5.045,1.97,3.818,W1,Equity and Te Tiriti focused,2
O1,Capitation reweighting only,S1,54.12,5.2,48.92,0.219,6.788,4.672,15.657,6.455,4.323,3.485,2.443,4.841,2.232,3.227,W1,Equity and Te Tiriti focused,3
O2,Capitation reweighting plus access target,S1+target,55.34,6.5,48.84,0.298,7.071,5.227,15.467,6.424,4.172,3.455,2.525,4.989,2.303,3.712,W1,Equity and Te Tiriti focused,4
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,60.99,12.3,48.69,0.707,11.437,7.02,14.362,7.879,3.677,2.826,3.51,4.773,1.838,3.667,W1,Equity and Te Tiriti focused,5
O7,ACC/ambulance alternatives strengthened only,partial,55.85,8.2,47.65,0.394,8.131,6.199,13.668,6.97,4.04,3.197,2.652,5.227,2.187,3.576,W1,Equity and Te Tiriti focused,6
O8,PHO reform/direct claims only,partial,52.87,12.25,40.62,0.206,7.848,5.303,12.626,6.333,4.242,3.03,3.662,4.886,1.657,3.28,W1,Equity and Te Tiriti focused,7
O9,Hospital investment priority only,hospital,47.16,8.0,39.16,-0.156,4.808,4.293,11.806,5.515,2.99,3.773,2.936,5.341,2.475,3.227,W1,Equity and Te Tiriti focused,8
O0,Status quo tight control,S0,39.27,7.5,31.77,-0.561,3.465,2.626,9.091,4.364,4.525,3.598,1.869,4.682,2.515,2.538,W1,Equity and Te Tiriti focused,9
O6,Loose demand-driven benefits with weak controls,S4,47.52,22.75,24.77,-0.166,10.288,6.162,10.101,6.606,2.071,1.333,3.22,2.909,1.576,3.258,W1,Equity and Te Tiriti focused,10
O5,Full upstream access architecture,S3,67.45,10.35,57.1,1.123,8.325,9.315,7.25,3.719,14.062,9.15,3.556,6.95,2.0,3.12,W2,Fiscal-control focused,1
O1,Capitation reweighting only,S1,53.3,5.2,48.1,0.181,4.8,5.55,6.2,2.663,13.375,8.625,2.419,5.325,2.21,2.13,W2,Fiscal-control focused,2
O2,Capitation reweighting plus access target,S1+target,54.16,6.5,47.66,0.237,5.0,6.21,6.125,2.65,12.906,8.55,2.5,5.487,2.28,2.45,W2,Fiscal-control focused,3
O7,ACC/ambulance alternatives strengthened only,partial,54.72,8.2,46.52,0.315,5.75,7.365,5.412,2.875,12.5,7.912,2.625,5.75,2.165,2.36,W2,Fiscal-control focused,4
O3,Primary Care Benefits Schedule,S2,56.5,10.1,46.4,0.39,7.537,8.145,5.55,2.913,11.875,7.312,3.15,5.55,1.95,2.52,W2,Fiscal-control focused,5
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,56.7,12.3,44.4,0.398,8.088,8.34,5.688,3.25,11.375,6.994,3.475,5.25,1.82,2.42,W2,Fiscal-control focused,6
O8,PHO reform/direct claims only,partial,52.89,12.25,40.64,0.209,5.55,6.3,5.0,2.612,13.125,7.5,3.625,5.375,1.64,2.165,W2,Fiscal-control focused,7
O9,Hospital investment priority only,hospital,47.4,8.0,39.4,-0.151,3.4,5.1,4.675,2.275,9.25,9.338,2.906,5.875,2.45,2.13,W2,Fiscal-control focused,8
O0,Status quo tight control,S0,45.04,7.5,37.54,-0.231,2.45,3.12,3.6,1.8,14.0,8.906,1.85,5.15,2.49,1.675,W2,Fiscal-control focused,9
O6,Loose demand-driven benefits with weak controls,S4,41.12,22.75,18.37,-0.529,7.275,7.32,4.0,2.725,6.406,3.3,3.188,3.2,1.56,2.15,W2,Fiscal-control focused,10
O5,Full upstream access architecture,S3,72.86,10.35,62.51,1.413,14.409,8.957,10.457,14.303,4.327,3.519,4.103,5.346,1.442,6.0,W3,Rural access focused,1
O4,Benefits schedule plus scope-enabled eligibility,S2+scope,62.92,12.3,50.62,0.828,13.998,8.019,8.203,12.5,3.5,2.69,4.01,4.038,1.312,4.654,W3,Rural access focused,2
O3,Primary Care Benefits Schedule,S2,60.71,10.1,50.61,0.665,13.046,7.832,8.005,11.202,3.654,2.812,3.635,4.269,1.406,4.846,W3,Rural access focused,3
